0,-0.064951,-0.54198,-0.080104
0.005,-0.10761,-1.0324,-0.17993
0.01,-0.13588,-1.4598,-0.28703
0.015,-0.15196,-1.874,-0.39735
0.02,-0.15283,-2.3071,-0.48417
0.025,-0.15411,-2.7569,-0.56331
0.03,-0.16926,-3.2113,-0.64625
0.035,-0.20361,-3.6647,-0.74156
0.04,-0.31779,-3.9753,-0.84054
0.045,-0.42462,-4.294,-0.91063
0.05,-0.52231,-4.6177,-0.96108
0.055,-0.61762,-4.9407,-0.97574
0.06,-0.71367,-5.2822,-0.96839
0.065,-0.80762,-5.6326,-0.95246
0.07,-0.90128,-5.9807,-0.93429
0.075,-0.99064,-6.3331,-0.93423
0.08,-1.0256,-6.6831,-0.94598
0.085,-1.0586,-7.0487,-0.94746
0.09,-1.0905,-7.4176,-0.94764
0.095,-1.1222,-7.7882,-0.95845
0.1,-1.1552,-8.1576,-0.98195
0.105,-1.1867,-8.5283,-1.0196
0.11,-1.209,-8.8912,-1.0613
0.115,-1.2259,-9.2407,-1.0947
0.12,-1.2165,-9.6185,-1.1536
0.125,-1.2142,-9.9878,-1.2271
0.13,-1.2216,-10.355,-1.3102
0.135,-1.2337,-10.724,-1.4025
0.14,-1.2491,-11.093,-1.4903
0.145,-1.266,-11.445,-1.558
0.15,-1.2867,-11.768,-1.603
0.155,-1.3129,-12.086,-1.6252
0.16,-1.3585,-12.241,-1.6782
0.165,-1.4025,-12.383,-1.73
0.17,-1.4476,-12.52,-1.7782
0.175,-1.4872,-12.644,-1.8237
0.18,-1.5264,-12.75,-1.8651
0.185,-1.5639,-12.844,-1.9022
0.19,-1.5942,-12.922,-1.9436
0.195,-1.6224,-12.984,-1.9837
0.2,-1.6403,-12.938,-2.0001
0.205,-1.6584,-12.896,-2.005
0.21,-1.6786,-12.853,-2.004
0.215,-1.6958,-12.798,-1.9904
0.22,-1.7128,-12.733,-1.9536
0.225,-1.7273,-12.669,-1.9065
0.23,-1.7416,-12.613,-1.8454
0.235,-1.7574,-12.56,-1.7765
0.24,-1.7925,-12.545,-1.7398
0.245,-1.8278,-12.527,-1.7047
0.25,-1.8668,-12.502,-1.6714
0.255,-1.9068,-12.473,-1.6402
0.26,-1.9471,-12.44,-1.611
0.265,-1.9876,-12.403,-1.5756
0.27,-2.0245,-12.368,-1.5368
0.275,-2.0585,-12.33,-1.4968
0.28,-2.0854,-12.303,-1.4286
0.285,-2.1115,-12.271,-1.3629
0.29,-2.1354,-12.235,-1.2965
0.295,-2.1594,-12.2,-1.2265
0.3,-2.1847,-12.167,-1.1604
0.305,-2.2106,-12.136,-1.092
0.31,-2.2376,-12.105,-1.0219
0.315,-2.2635,-12.072,-0.9471
0.32,-2.2835,-12.021,-0.88539
0.325,-2.304,-11.959,-0.83048
0.33,-2.3243,-11.894,-0.78407
0.335,-2.3457,-11.826,-0.74011
0.34,-2.3561,-11.751,-0.70103
0.345,-2.3766,-11.672,-0.66531
0.35,-2.3947,-11.591,-0.6335
0.355,-2.4078,-11.512,-0.60055
0.36,-2.407,-11.355,-0.51855
0.365,-2.4038,-11.189,-0.43778
0.37,-2.3992,-11.018,-0.3585
0.375,-2.3933,-10.84,-0.27949
0.38,-2.3884,-10.662,-0.20142
0.385,-2.3837,-10.478,-0.12064
0.39,-2.3806,-10.29,-0.040278
0.395,-2.3764,-10.097,0.044886
0.4,-2.3924,-9.8593,0.19609
0.405,-2.4072,-9.6105,0.34656
0.41,-2.4222,-9.3387,0.50229
0.415,-2.4324,-9.0468,0.65593
0.42,-2.4403,-8.7518,0.81033
0.425,-2.4407,-8.453,0.96002
0.43,-2.4397,-8.1459,1.101
0.435,-2.4367,-7.8359,1.2295
0.44,-2.4284,-7.3935,1.2629
0.445,-2.4167,-6.9364,1.2967
0.45,-2.3959,-6.4748,1.3375
0.455,-2.3688,-6.0023,1.3935
0.46,-2.3331,-5.5211,1.4608
0.465,-2.2943,-5.035,1.5351
0.47,-2.2508,-4.5475,1.6147
0.475,-2.1934,-4.0531,1.7082
0.48,-2.1394,-3.5285,1.7895
0.485,-2.0891,-3.0007,1.8704
0.49,-2.0361,-2.4684,1.9514
0.495,-1.9893,-1.9199,2.0218
0.5,-1.9506,-1.3736,2.074
0.505,-1.9417,-0.84963,2.1467
0.51,-1.9463,-0.43762,2.2407
0.515,-1.9664,0.049217,2.309
0.52,-1.9779,0.5473,2.5144
0.525,-1.9871,1.0495,2.7172
0.53,-1.9902,1.5528,2.9204
0.535,-1.9886,2.0609,3.1244
0.54,-1.9817,2.578,3.3274
0.545,-1.9715,3.1071,3.5217
0.55,-1.957,3.6492,3.6895
0.555,-1.9403,4.1973,3.8257
0.56,-1.9654,4.748,3.8685
0.565,-1.9909,5.3,3.9149
0.57,-2.0173,5.8389,3.9711
0.575,-2.0427,6.371,4.0451
0.58,-2.0646,6.8975,4.1344
0.585,-2.0757,7.4436,4.2335
0.59,-2.0752,7.9994,4.3415
0.595,-2.0589,8.5604,4.4636
0.6,-1.8978,9.1677,4.6783
0.605,-1.7348,9.7791,4.8853
0.61,-1.5728,10.389,5.0855
0.615,-1.4161,10.995,5.2732
0.62,-1.268,11.592,5.4389
0.625,-1.1377,12.181,5.5663
0.63,-1.0325,12.759,5.6582
0.635,-0.94947,13.322,5.7253
0.64,-0.90695,13.836,5.8746
0.645,-0.84911,14.346,6.0546
0.65,-0.77341,14.855,6.2616
0.655,-0.67519,15.371,6.4875
0.66,-0.55636,15.891,6.7327
0.665,-0.42035,16.42,6.9843
0.67,-0.27159,16.957,7.24
0.675,-0.10909,17.493,7.4825
0.68,0.016492,18.026,7.6624
0.685,0.1188,18.557,7.8291
0.69,0.20327,19.09,7.9737
0.695,0.2797,19.625,8.1022
0.7,0.33426,20.162,8.2041
0.705,0.36612,20.694,8.2745
0.71,0.37544,21.219,8.3145
0.715,0.37047,21.738,8.3281
0.72,0.37702,22.278,8.2197
0.725,0.39124,22.823,8.1121
0.73,0.40846,23.369,8.0025
0.735,0.42823,23.913,7.89
0.74,0.45143,24.454,7.7782
0.745,0.47346,24.995,7.6718
0.75,0.49748,25.535,7.5738
0.755,0.51565,26.067,7.479
0.76,0.5413,26.529,7.3649
0.765,0.56966,26.977,7.2447
0.77,0.60394,27.409,7.1205
0.775,0.64542,27.822,7.0016
0.78,0.69647,28.217,6.8884
0.785,0.7595,28.598,6.7855
0.79,0.8365,28.974,6.6941
0.795,0.92293,29.351,6.6084
0.8,0.97935,29.648,6.5559
0.805,1.0184,29.925,6.4959
0.81,1.0434,30.182,6.4294
0.815,1.0605,30.421,6.374
0.82,1.0699,30.648,6.3427
0.825,1.0719,30.859,6.3305
0.83,1.0677,31.063,6.3268
0.835,1.0584,31.253,6.3345
0.84,1.0405,31.328,6.4015
0.845,1.0233,31.392,6.4557
0.85,1.0099,31.446,6.5025
0.855,1.0011,31.493,6.5383
0.86,0.99562,31.528,6.5591
0.865,0.99386,31.55,6.5639
0.87,0.99396,31.561,6.5537
0.875,0.99474,31.558,6.5325
0.88,0.98898,31.551,6.5395
0.885,0.98319,31.546,6.5486
0.89,0.97362,31.546,6.556
0.895,0.96058,31.548,6.5657
0.9,0.9436,31.555,6.5813
0.905,0.92023,31.561,6.6021
0.91,0.89758,31.567,6.6259
0.915,0.87081,31.572,6.6506
0.92,0.83959,31.57,6.6415
0.925,0.80766,31.565,6.6194
0.93,0.77627,31.561,6.582
0.935,0.74552,31.556,6.529
0.94,0.71882,31.561,6.4704
0.945,0.69458,31.558,6.4045
0.95,0.67441,31.557,6.3424
0.955,0.6583,31.561,6.2894
0.96,0.65509,31.601,6.2978
0.965,0.65306,31.637,6.3
0.97,0.64928,31.667,6.2958
0.975,0.64462,31.69,6.288
0.98,0.6391,31.708,6.2775
0.985,0.63147,31.72,6.2679
0.99,0.62335,31.729,6.2601
0.995,0.61299,31.739,6.2529
1,0.60113,31.761,6.2579
1.005,0.58846,31.778,6.2561
1.01,0.57381,31.793,6.2457
1.015,0.55662,31.807,6.2297
1.02,0.54212,31.82,6.2129
1.025,0.52786,31.834,6.1995
1.03,0.51677,31.847,6.1905
1.035,0.50495,31.861,6.1881
1.04,0.47833,31.844,6.1436
1.045,0.45149,31.824,6.0919
1.05,0.42565,31.8,6.0426
1.055,0.40344,31.769,5.9992
1.06,0.37804,31.729,5.9548
1.065,0.35044,31.681,5.9009
1.07,0.32281,31.621,5.845
1.075,0.28988,31.551,5.7851
1.08,0.24296,31.407,5.7736
1.085,0.20545,31.255,5.7711
1.09,0.171,31.098,5.7717
1.095,0.13764,30.932,5.7721
1.1,0.10456,30.75,5.7711
