-0.36788,-17.079,6.5723
-0.56926,-18.388,6.3875
-0.74932,-19.21,6.2322
-0.92875,-19.877,6.1249
-1.0355,-20.645,5.9466
-1.1184,-21.446,5.7261
-1.1892,-22.236,5.4284
-1.2915,-23.013,5.1215
-1.677,-23.541,5.1319
-2.0597,-24.062,5.2079
-2.398,-24.584,5.2562
-2.7021,-25.089,5.3113
-3.0016,-25.657,5.3998
-3.2809,-26.227,5.4768
-3.5497,-26.787,5.5413
-3.8222,-27.372,5.5926
-4.0485,-27.974,5.6844
-4.2356,-28.604,5.737
-4.4142,-29.22,5.7757
-4.5742,-29.837,5.77
-4.7466,-30.459,5.7583
-4.9407,-31.097,5.7565
-5.1278,-31.715,5.7548
-5.3068,-32.293,5.768
-5.3411,-32.98,5.6111
-5.4459,-33.593,5.4944
-5.5781,-34.207,5.374
-5.738,-34.821,5.2606
-5.8857,-35.426,5.139
-6.0474,-35.985,5.0703
-6.2068,-36.47,5.0372
-6.3595,-36.965,5.0395
-6.5726,-37.16,5.0446
-6.7643,-37.319,5.0322
-6.9579,-37.475,5.0274
-7.1393,-37.587,5.0225
-7.3202,-37.663,5.0285
-7.4918,-37.73,5.0387
-7.6429,-37.753,5.0314
-7.7748,-37.751,5.0103
-7.8713,-37.554,5.0281
-7.9346,-37.367,5.0319
-8.0164,-37.205,5.073
-8.1073,-37.011,5.1537
-8.185,-36.789,5.2626
-8.2472,-36.572,5.3781
-8.3217,-36.384,5.5375
-8.3869,-36.197,5.696
-8.4677,-36.065,5.7675
-8.5761,-35.938,5.8684
-8.6861,-35.784,5.9567
-8.8036,-35.628,6.0498
-8.9171,-35.468,6.1322
-9.041,-35.301,6.2383
-9.1331,-35.146,6.3241
-9.2305,-34.985,6.4238
-9.3158,-34.838,6.5731
-9.3889,-34.687,6.7016
-9.4581,-34.528,6.8316
-9.5232,-34.377,6.9652
-9.585,-34.229,7.0843
-9.6516,-34.087,7.2134
-9.727,-33.944,7.3536
-9.7962,-33.791,7.4947
-9.8129,-33.598,7.5595
-9.8532,-33.394,7.6409
-9.8747,-33.187,7.6882
-9.9023,-32.978,7.7377
-9.9197,-32.754,7.7819
-9.966,-32.521,7.8349
-10.007,-32.292,7.8798
-10.023,-32.068,7.9089
-9.9546,-31.685,7.9766
-9.8853,-31.288,8.0455
-9.8185,-30.886,8.1156
-9.7499,-30.469,8.1842
-9.6824,-30.07,8.2599
-9.604,-29.646,8.323
-9.536,-29.218,8.395
-9.4517,-28.776,8.4545
-9.3953,-28.248,8.6523
-9.3093,-27.703,8.8174
-9.2402,-27.117,9.0142
-9.1602,-26.497,9.205
-9.0656,-25.878,9.3865
-8.9509,-25.253,9.5518
-8.8053,-24.611,9.6633
-8.6612,-23.963,9.7566
-8.4907,-23.071,9.6661
-8.3254,-22.16,9.5942
-8.1381,-21.25,9.5289
-7.9399,-20.324,9.4977
-7.7233,-19.385,9.4811
-7.5112,-18.437,9.5008
-7.294,-17.487,9.5345
-7.0475,-16.528,9.5885
-6.7813,-15.525,9.5847
-6.525,-14.538,9.5954
-6.2654,-13.557,9.6101
-6.0151,-12.55,9.6202
-5.777,-11.561,9.6208
-5.6249,-10.606,9.6758
-5.4958,-9.8008,9.7303
-5.416,-8.8916,9.7656
-5.3301,-7.9358,10.098
-5.2341,-6.9856,10.423
-5.1206,-6.0515,10.738
-4.9965,-5.1143,11.053
-4.8568,-4.1718,11.36
-4.7062,-3.2179,11.646
-4.5451,-2.2383,11.889
-4.3724,-1.2656,12.081
-4.3017,-0.2174,12.103
-4.2278,0.80625,12.133
-4.1644,1.8133,12.187
-4.0975,2.7868,12.271
-4.0227,3.7354,12.377
-3.9298,4.7498,12.514
-3.8088,5.7625,12.661
-3.6515,6.7729,12.836
-3.2286,7.8972,13.174
-2.7918,8.9959,13.512
-2.3563,10.083,13.846
-1.9459,11.18,14.146
-1.5622,12.259,14.394
-1.2211,13.335,14.571
-0.92915,14.384,14.686
-0.69334,15.418,14.748
-0.49093,16.365,15.047
-0.288,17.299,15.363
-0.056297,18.214,15.721
0.21312,19.152,16.12
0.53992,20.068,16.571
0.88713,21.001,17.022
1.2661,21.943,17.488
1.6649,22.896,17.932
1.8763,23.929,18.131
2.0654,24.942,18.335
2.2157,25.964,18.492
2.3655,26.987,18.638
2.47,28.028,18.727
2.5309,29.048,18.752
2.5344,30.06,18.702
2.5373,31.052,18.629
2.5915,32.106,18.348
2.6512,33.164,18.061
2.7349,34.199,17.786
2.8024,35.238,17.489
2.8887,36.26,17.207
2.9756,37.284,16.944
3.0593,38.285,16.69
3.1171,39.289,16.433
3.1808,40.231,16.156
3.2596,41.121,15.876
3.3567,41.954,15.596
3.4814,42.726,15.343
3.6262,43.454,15.106
3.8036,44.146,14.904
4.007,44.835,14.731
4.2253,45.527,14.569
4.3075,46.127,14.405
4.3641,46.667,14.231
4.3994,47.17,14.048
4.4122,47.62,13.878
4.3962,48.057,13.743
4.3419,48.468,13.621
