-0.25707,-16.107,6.5657
-0.46093,-17.035,6.3647
-0.63779,-17.751,6.1801
-0.80334,-18.44,6.0279
-0.89586,-19.284,5.7911
-0.96881,-20.171,5.5209
-1.0398,-21.047,5.1938
-1.153,-21.904,4.8813
-1.5385,-22.482,4.8967
-1.9023,-23.065,4.937
-2.2089,-23.649,4.921
-2.4785,-24.205,4.9048
-2.7475,-24.834,4.929
-3.0028,-25.461,4.9499
-3.2544,-26.07,4.9729
-3.5147,-26.709,4.9944
-3.7226,-27.335,5.0672
-3.8834,-28.003,5.0812
-4.0334,-28.657,5.0808
-4.1674,-29.316,5.0363
-4.3173,-29.98,4.9921
-4.4886,-30.66,4.9592
-4.6476,-31.31,4.9222
-4.7922,-31.923,4.8918
-4.7945,-32.629,4.6854
-4.8752,-33.26,4.5399
-4.9824,-33.906,4.3916
-5.1141,-34.551,4.2469
-5.2299,-35.188,4.0818
-5.3593,-35.783,3.9733
-5.4841,-36.306,3.8942
-5.6039,-36.848,3.8499
-5.7909,-37.078,3.8217
-5.9505,-37.274,3.7649
-6.1085,-37.472,3.7128
-6.2527,-37.614,3.6577
-6.395,-37.724,3.6106
-6.5268,-37.83,3.5657
-6.6376,-37.886,3.5002
-6.7302,-37.92,3.4205
-6.7938,-37.761,3.3901
-6.824,-37.607,3.3403
-6.8776,-37.481,3.3346
-6.9416,-37.311,3.3754
-6.9889,-37.107,3.4386
-7.0204,-36.905,3.5064
-7.0655,-36.738,3.6223
-7.1015,-36.566,3.7373
-7.1545,-36.45,3.7621
-7.2426,-36.341,3.8311
-7.3347,-36.197,3.8907
-7.4353,-36.061,3.9559
-7.5323,-35.926,4.0124
-7.6384,-35.777,4.092
-7.7128,-35.643,4.1478
-7.7952,-35.5,4.2237
-7.8643,-35.371,4.3484
-7.9208,-35.237,4.454
-7.9749,-35.095,4.5625
-8.0253,-34.962,4.6744
-8.0735,-34.83,4.773
-8.1291,-34.707,4.8848
-8.1944,-34.579,5.0111
-8.2521,-34.439,5.136
-8.2608,-34.258,5.1841
-8.2983,-34.072,5.2599
-8.3181,-33.884,5.2992
-8.3468,-33.691,5.3453
-8.3643,-33.475,5.3882
-8.4089,-33.255,5.4381
-8.4459,-33.041,5.4788
-8.4569,-32.83,5.4983
-8.3901,-32.455,5.5519
-8.3299,-32.066,5.6197
-8.2745,-31.671,5.695
-8.2172,-31.259,5.769
-8.1624,-30.874,5.8504
-8.0963,-30.457,5.9184
-8.0426,-30.032,6.0001
-7.9725,-29.592,6.068
-7.9356,-29.081,6.2744
-7.8732,-28.541,6.4478
-7.8342,-27.958,6.6691
-7.7831,-27.342,6.8839
-7.7174,-26.728,7.0895
-7.6319,-26.108,7.2782
-7.5158,-25.466,7.4084
-7.4068,-24.816,7.532
-7.2795,-23.928,7.4799
-7.1557,-23.014,7.4469
-7.0054,-22.106,7.4118
-6.8424,-21.178,7.4078
-6.6585,-20.235,7.4178
-6.4793,-19.282,7.4643
-6.2918,-18.321,7.521
-6.0719,-17.349,7.5941
-5.828,-16.341,7.5879
-5.6014,-15.351,7.6106
-5.3738,-14.362,7.6467
-5.1557,-13.342,7.6793
-4.9509,-12.345,7.7074
-4.8323,-11.387,7.8089
-4.736,-10.583,7.9069
-4.6839,-9.6538,7.9828
-4.6221,-8.6937,8.3587
-4.5474,-7.7367,8.7157
-4.4521,-6.7994,9.0575
-4.3441,-5.8586,9.4008
-4.2194,-4.9114,9.7382
-4.0819,-3.9491,10.055
-3.9322,-2.957,10.33
-3.77,-1.9748,10.562
-3.7051,-0.92403,10.632
-3.6356,0.10034,10.711
-3.5742,1.1135,10.815
-3.5065,2.0885,10.947
-3.4303,3.0392,11.096
-3.3344,4.066,11.277
-3.2097,5.089,11.461
-3.0464,6.1077,11.678
-2.6142,7.2449,12.032
-2.1618,8.3475,12.401
-1.7041,9.4408,12.781
-1.2644,10.545,13.131
-0.84292,11.622,13.435
-0.45475,12.697,13.682
